ranking,tv_names,tv_ratings,no_of_votes,release_year,no_of_episodes
239,Avrupa Yakasi,8.6,20000,2004,190
240,Your Lie in April,8.6,35000,2014,24
241,Gintama,8.7,14000,2005,375
242,Generation Kill,8.5,57000,2008,7
243,Cobra Kai,8.5,198000,2018,51
244,Alfred Hitchcock Presents,8.5,19000,1955,268
245,Foyle's War,8.6,17000,2002,28
246,The Night Of,8.4,164000,2016,8
247,Southland,8.5,28000,2009,43
248,The Angry Video Game Nerd,8.5,16000,2004,226
249,Alchemy of Souls,8.8,13000,2022,30
250,The Knick,8.5,51000,2014,21
